"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 17, 1980","630.00","667.00","630.00","630.00","-5.55%"
"Feb 10, 1980","667.00","710.50","667.00","667.00","-3.61%"
"Feb 03, 1980","692.00","669.75","692.00","692.00","2.29%"
"Jan 27, 1980","676.50","624.00","676.50","676.50","1.27%"
"Jan 20, 1980","668.00","835.00","668.00","668.00","-20.00%"
"Jan 13, 1980","835.00","660.00","835.00","835.00","34.03%"
"Jan 06, 1980","623.00","634.00","623.00","623.00","-1.77%"
"Dec 30, 1979","634.25","512.00","634.25","634.25","23.88%"
"Dec 23, 1979","512.00","499.00","512.00","512.00","8.22%"
"Dec 16, 1979","473.10","469.50","473.10","473.10","3.51%"
"Dec 09, 1979","457.05","431.40","457.05","457.05","6.13%"
"Dec 02, 1979","430.65","429.00","430.65","430.65","3.55%"
"Nov 25, 1979","415.90","395.25","415.90","415.90","4.92%"
"Nov 18, 1979","396.40","390.10","396.40","396.40","1.48%"
"Nov 11, 1979","390.60","393.50","390.60","390.60","0.22%"
"Nov 04, 1979","389.75","384.30","389.75","389.75","4.48%"
"Oct 28, 1979","373.05","374.25","373.05","373.05","-0.59%"
"Oct 21, 1979","375.25","392.00","375.25","375.25","-1.38%"
"Oct 14, 1979","380.50","403.20","380.50","380.50","-3.67%"
"Oct 07, 1979","395.00","386.05","395.00","395.00","2.53%"
"Sep 30, 1979","385.25","415.00","385.25","385.25","-3.08%"
"Sep 23, 1979","397.50","380.65","397.50","397.50","7.65%"
"Sep 16, 1979","369.25","351.75","369.25","369.25","6.70%"
"Sep 09, 1979","346.05","336.55","346.05","346.05","5.13%"
"Sep 02, 1979","329.15","329.25","329.15","329.15","4.38%"
"Aug 26, 1979","315.35","314.60","315.35","315.35","0.19%"
"Aug 19, 1979","314.75","300.75","314.75","314.75","4.64%"
"Aug 12, 1979","300.80","299.00","300.80","300.80","-1.05%"
"Aug 05, 1979","304.00","282.95","304.00","304.00","4.29%"
"Jul 29, 1979","291.50","301.65","291.50","291.50","-4.68%"
"Jul 22, 1979","305.80","304.90","305.80","305.80","2.36%"
"Jul 15, 1979","298.75","293.05","298.75","298.75","3.93%"
"Jul 08, 1979","287.45","287.85","287.45","287.45","-0.96%"
"Jul 01, 1979","290.25","282.50","290.25","290.25","4.59%"
"Jun 24, 1979","277.50","283.45","277.50","277.50","-1.70%"
"Jun 17, 1979","282.30","278.00","282.30","282.30","0.82%"
"Jun 10, 1979","280.00","282.60","280.00","280.00","-0.09%"
"Jun 03, 1979","280.25","273.15","280.25","280.25","1.78%"
"May 27, 1979","275.35","273.80","275.35","275.35","1.76%"
"May 20, 1979","270.60","262.25","270.60","270.60","5.54%"
"May 13, 1979","256.40","251.25","256.40","256.40","1.95%"
"May 06, 1979","251.50","251.50","251.50","251.50","1.13%"
"Apr 29, 1979","248.70","245.55","248.70","248.70","2.05%"
"Apr 22, 1979","243.70","237.10","243.70","243.70","3.09%"
"Apr 15, 1979","236.40","230.50","236.40","236.40","0.94%"
"Apr 08, 1979","234.20","240.65","234.20","234.20","-2.42%"
"Apr 01, 1979","240.00","239.95","240.00","240.00","-0.15%"
"Mar 25, 1979","240.35","245.25","240.35","240.35","-0.89%"
"Mar 18, 1979","242.50","242.25","242.50","242.50","-0.72%"
"Mar 11, 1979","244.25","240.25","244.25","244.25","1.35%"
"Mar 04, 1979","241.00","238.40","241.00","241.00","-2.82%"
"Feb 25, 1979","248.00","248.85","248.00","248.00","-1.20%"
"Feb 18, 1979","251.00","247.00","251.00","251.00","1.50%"
"Feb 11, 1979","247.30","244.50","247.30","247.30","0.22%"
"Feb 04, 1979","246.75","243.10","246.75","246.75","7.14%"
"Jan 28, 1979","230.30","235.20","230.30","230.30","-2.19%"
"Jan 21, 1979","235.45","235.25","235.45","235.45","2.13%"
"Jan 14, 1979","230.55","217.10","230.55","230.55","5.83%"
"Jan 07, 1979","217.85","223.35","217.85","217.85","-3.39%"
"Dec 31, 1978","225.50","226.80","225.50","225.50","-0.22%"
"Dec 24, 1978","226.00","214.75","226.00","226.00","5.12%"
"Dec 17, 1978","215.00","213.15","215.00","215.00","4.57%"
"Dec 10, 1978","205.60","207.00","205.60","205.60","2.29%"
"Dec 03, 1978","201.00","199.50","201.00","201.00","3.26%"
"Nov 26, 1978","194.65","198.40","194.65","194.65","-2.31%"
"Nov 19, 1978","199.25","199.10","199.25","199.25","0.66%"
"Nov 12, 1978","197.95","208.10","197.95","197.95","-4.02%"
"Nov 05, 1978","206.25","210.25","206.25","206.25","-4.16%"
"Oct 29, 1978","215.20","242.75","215.20","215.20","-8.33%"
"Oct 22, 1978","234.75","227.00","234.75","234.75","2.98%"
"Oct 15, 1978","227.95","223.65","227.95","227.95","1.54%"
"Oct 08, 1978","224.50","225.55","224.50","224.50","0.51%"
"Oct 01, 1978","223.35","217.35","223.35","223.35","2.88%"
"Sep 24, 1978","217.10","218.65","217.10","217.10","1.16%"
"Sep 17, 1978","214.60","210.25","214.60","214.60","0.99%"
"Sep 10, 1978","212.50","205.90","212.50","212.50","3.08%"
"Sep 03, 1978","206.15","209.70","206.15","206.15","-1.01%"
"Aug 27, 1978","208.25","199.60","208.25","208.25","5.04%"
"Aug 20, 1978","198.25","205.10","198.25","198.25","-6.49%"
"Aug 13, 1978","212.00","213.75","212.00","212.00","0.40%"
"Aug 06, 1978","211.15","204.30","211.15","211.15","4.63%"
"Jul 30, 1978","201.80","200.50","201.80","201.80","0.25%"
"Jul 23, 1978","201.30","195.50","201.30","201.30","4.84%"
"Jul 16, 1978","192.00","185.05","192.00","192.00","3.23%"
"Jul 09, 1978","186.00","186.05","186.00","186.00","1.11%"
"Jul 02, 1978","183.95","183.25","183.95","183.95","0.49%"
"Jun 25, 1978","183.05","185.50","183.05","183.05","-1.48%"
"Jun 18, 1978","185.80","184.60","185.80","185.80","0.51%"
"Jun 11, 1978","184.85","180.65","184.85","184.85","1.79%"
"Jun 04, 1978","181.60","183.40","181.60","181.60","-1.71%"
"May 28, 1978","184.75","182.65","184.75","184.75","2.75%"
"May 21, 1978","179.80","179.55","179.80","179.80","0.36%"
"May 14, 1978","179.15","175.60","179.15","179.15","2.55%"
"May 07, 1978","174.70","172.55","174.70","174.70","0.90%"
"Apr 30, 1978","173.15","169.55","173.15","173.15","1.35%"
"Apr 23, 1978","170.85","168.85","170.85","170.85","-0.18%"
"Apr 16, 1978","171.15","174.65","171.15","171.15","-4.12%"
"Apr 09, 1978","178.50","178.70","178.50","178.50","-0.53%"
"Apr 02, 1978","179.45","183.75","179.45","179.45","-1.18%"
"Mar 26, 1978","181.60","182.50","181.60","181.60","1.28%"
"Mar 19, 1978","179.30","181.00","179.30","179.30","-2.13%"
"Mar 12, 1978","183.20","186.85","183.20","183.20","-1.64%"
"Mar 05, 1978","186.25","184.75","186.25","186.25","1.30%"
"Feb 26, 1978","183.86","181.15","183.86","183.86","1.72%"
"Feb 19, 1978","180.75","181.45","180.75","180.75","0.72%"
"Feb 12, 1978","179.45","177.35","179.45","179.45","2.78%"
"Feb 05, 1978","174.60","175.95","174.60","174.60","-0.57%"
"Jan 29, 1978","175.60","175.20","175.60","175.60","-0.45%"
"Jan 22, 1978","176.40","175.55","176.40","176.40","1.70%"
"Jan 15, 1978","173.45","174.90","173.45","173.45","0.38%"
"Jan 08, 1978","172.80","170.25","172.80","172.80","1.56%"
"Jan 01, 1978","170.15","169.20","170.15","170.15","3.15%"
"Dec 25, 1977","164.96","163.90","164.96","164.96","1.51%"
"Dec 18, 1977","162.50","160.10","162.50","162.50","1.34%"
"Dec 11, 1977","160.35","157.75","160.35","160.35","0.98%"
"Dec 04, 1977","158.80","159.85","158.80","158.80","-0.19%"
"Nov 27, 1977","159.10","161.95","159.10","159.10","-0.13%"
"Nov 20, 1977","159.30","158.05","159.30","159.30","-1.18%"
"Nov 13, 1977","161.20","165.20","161.20","161.20","-4.10%"
"Nov 06, 1977","168.10","166.75","168.10","168.10","1.17%"
"Oct 30, 1977","166.15","161.50","166.15","166.15","3.07%"
"Oct 23, 1977","161.20","163.60","161.20","161.20","-0.15%"
"Oct 16, 1977","161.45","160.45","161.45","161.45","2.31%"
"Oct 09, 1977","157.80","157.20","157.80","157.80","2.30%"
"Oct 02, 1977","154.25","155.70","154.25","154.25","0.03%"
"Sep 25, 1977","154.20","153.35","154.20","154.20","2.19%"
"Sep 18, 1977","150.90","150.10","150.90","150.90","1.75%"
"Sep 11, 1977","148.30","148.65","148.30","148.30","0.58%"
"Sep 04, 1977","147.45","147.55","147.45","147.45","0.72%"
"Aug 28, 1977","146.40","146.50","146.40","146.40","0.72%"
"Aug 21, 1977","145.35","144.45","145.35","145.35","0.59%"
"Aug 14, 1977","144.50","144.50","144.50","144.50","-0.52%"
"Aug 07, 1977","145.25","146.15","145.25","145.25","-0.38%"
"Jul 31, 1977","145.80","144.55","145.80","145.80","1.00%"
"Jul 24, 1977","144.35","146.65","144.35","144.35","-0.41%"
"Jul 17, 1977","144.95","143.80","144.95","144.95","0.24%"
"Jul 10, 1977","144.60","140.90","144.60","144.60","1.80%"
"Jul 03, 1977","142.05","141.25","142.05","142.05","-0.35%"
"Jun 26, 1977","142.55","142.50","142.55","142.55","1.24%"
"Jun 19, 1977","140.80","139.85","140.80","140.80","1.48%"
"Jun 12, 1977","138.75","138.40","138.75","138.75","-1.07%"
"Jun 05, 1977","140.25","143.40","140.25","140.25","-1.09%"
"May 29, 1977","141.80","143.30","141.80","141.80","-1.80%"
"May 22, 1977","144.40","146.50","144.40","144.40","-2.00%"
"May 15, 1977","147.35","147.65","147.35","147.35","-0.77%"
"May 08, 1977","148.50","147.30","148.50","148.50","0.17%"
"May 01, 1977","148.25","148.35","148.25","148.25","0.68%"
"Apr 24, 1977","147.25","149.00","147.25","147.25","-1.64%"
"Apr 17, 1977","149.70","151.00","149.70","149.70","-0.63%"
"Apr 10, 1977","150.65","149.70","150.65","150.65","1.38%"
"Apr 03, 1977","148.60","150.65","148.60","148.60","0.20%"
"Mar 27, 1977","148.30","150.35","148.30","148.30","-3.42%"
"Mar 20, 1977","153.55","152.00","153.55","153.55","2.33%"
"Mar 13, 1977","150.05","146.10","150.05","150.05","2.56%"
"Mar 06, 1977","146.30","148.56","146.30","146.30","0.38%"
"Feb 27, 1977","145.75","142.75","145.75","145.75","4.14%"
"Feb 20, 1977","139.95","138.10","139.95","139.95","2.45%"
"Feb 13, 1977","136.60","136.45","136.60","136.60","1.19%"
"Feb 06, 1977","135.00","134.25","135.00","135.00","1.93%"
"Jan 30, 1977","132.45","132.30","132.45","132.45","0.88%"
"Jan 23, 1977","131.30","132.30","131.30","131.30","-0.68%"
"Jan 16, 1977","132.20","131.60","132.20","132.20","0.30%"
"Jan 09, 1977","131.80","131.35","131.80","131.80","-0.75%"
"Jan 02, 1977","132.80","135.60","132.80","132.80","-1.45%"
"Dec 26, 1976","134.75","132.95","134.75","134.75","1.81%"
"Dec 19, 1976","132.35","132.60","132.35","132.35","0.08%"
"Dec 12, 1976","132.25","135.75","132.25","132.25","-3.92%"
"Dec 05, 1976","137.65","134.00","137.65","137.65","5.04%"
"Nov 28, 1976","131.05","130.00","131.05","131.05","0.08%"
"Nov 21, 1976","130.95","133.90","130.95","130.95","0.31%"
"Nov 14, 1976","130.55","139.20","130.55","130.55","-3.72%"
"Nov 07, 1976","135.60","131.50","135.60","135.60","6.48%"
"Oct 31, 1976","127.35","122.95","127.35","127.35","3.41%"
"Oct 24, 1976","123.15","116.05","123.15","123.15","6.62%"
"Oct 17, 1976","115.50","116.50","115.50","115.50","-0.47%"
"Oct 10, 1976","116.05","115.05","116.05","116.05","1.80%"
"Oct 03, 1976","114.00","114.60","114.00","114.00","-1.94%"
"Sep 26, 1976","116.25","116.60","116.25","116.25","-2.43%"
"Sep 19, 1976","119.15","115.40","119.15","119.15","-0.29%"
"Sep 12, 1976","119.50","114.75","119.50","119.50","3.28%"
"Sep 05, 1976","115.70","111.10","115.70","115.70","7.38%"
"Aug 29, 1976","107.75","102.20","107.75","107.75","3.41%"
"Aug 22, 1976","104.20","109.35","104.20","104.20","-5.10%"
"Aug 15, 1976","109.80","113.75","109.80","109.80","-3.30%"
"Aug 08, 1976","113.55","113.05","113.55","113.55","0.31%"
"Aug 01, 1976","113.20","112.20","113.20","113.20","0.35%"
"Jul 25, 1976","112.80","113.30","112.80","112.80","1.62%"
"Jul 18, 1976","111.00","114.15","111.00","111.00","-5.81%"
"Jul 11, 1976","117.85","121.85","117.85","117.85","-3.80%"
"Jul 04, 1976","122.50","123.30","122.50","122.50","-0.77%"
"Jun 27, 1976","123.45","123.90","123.45","123.45","-1.12%"
"Jun 20, 1976","124.85","125.80","124.85","124.85","-0.79%"
"Jun 13, 1976","125.85","125.80","125.85","125.85","0.28%"
"Jun 06, 1976","125.50","127.35","125.50","125.50","-0.87%"
"May 30, 1976","126.60","126.65","126.60","126.60","0.88%"
"May 23, 1976","125.50","125.25","125.50","125.50","-0.44%"
"May 16, 1976","126.05","127.70","126.05","126.05","-1.45%"
"May 09, 1976","127.90","128.45","127.90","127.90","-0.27%"
"May 02, 1976","128.25","128.35","128.25","128.25","-0.12%"
"Apr 25, 1976","128.40","128.10","128.40","128.40","0.55%"
"Apr 18, 1976","127.70","127.50","127.70","127.70","-0.04%"
"Apr 11, 1976","127.75","127.40","127.75","127.75","0.04%"
"Apr 04, 1976","127.70","127.25","127.70","127.70","-1.20%"
"Mar 28, 1976","129.25","130.10","129.25","129.25","-1.93%"
"Mar 21, 1976","131.80","134.00","131.80","131.80","-1.53%"
"Mar 14, 1976","133.85","133.90","133.85","133.85","0.30%"
"Mar 07, 1976","133.45","132.90","133.45","133.45","-0.37%"
"Feb 29, 1976","133.95","132.45","133.95","133.95","1.06%"
"Feb 22, 1976","132.55","131.90","132.55","132.55","0.53%"
"Feb 15, 1976","131.85","130.25","131.85","131.85","0.50%"
"Feb 08, 1976","131.20","130.20","131.20","131.20","0.38%"
"Feb 01, 1976","130.70","130.50","130.70","130.70","1.79%"
"Jan 25, 1976","128.40","125.75","128.40","128.40","-0.54%"
"Jan 18, 1976","129.10","129.00","129.10","129.10","-1.38%"
"Jan 11, 1976","130.90","136.90","130.90","130.90","-4.21%"
"Jan 04, 1976","136.65","138.70","136.65","136.65","-2.64%"
"Dec 28, 1975","140.35","141.85","140.35","140.35","0.00%"
"Dec 21, 1975","140.35","140.90","140.35","140.35","-1.51%"
"Dec 14, 1975","142.50","138.25","142.50","142.50","2.67%"
"Dec 07, 1975","138.80","137.35","138.80","138.80","0.51%"
"Nov 30, 1975","138.10","138.15","138.10","138.10","-1.85%"
"Nov 23, 1975","140.70","140.85","140.70","140.70","-0.53%"
"Nov 16, 1975","141.45","139.50","141.45","141.45","-0.56%"
"Nov 09, 1975","142.25","144.30","142.25","142.25","-1.79%"
"Nov 02, 1975","144.85","143.40","144.85","144.85","1.26%"
"Oct 26, 1975","143.05","143.05","143.05","143.05","-0.49%"
"Oct 19, 1975","143.75","145.00","143.75","143.75","-0.90%"
"Oct 12, 1975","145.05","140.75","145.05","145.05","1.86%"
"Oct 05, 1975","142.40","141.00","142.40","142.40","2.34%"
"Sep 28, 1975","139.15","139.50","139.15","139.15","1.98%"
"Sep 21, 1975","136.45","136.85","136.45","136.45","0.59%"
"Sep 14, 1975","135.65","148.40","135.65","135.65","-8.50%"
"Sep 07, 1975","148.25","152.50","148.25","148.25","-3.36%"
"Aug 31, 1975","153.40","149.40","153.40","153.40","-4.13%"
"Aug 24, 1975","160.00","162.25","160.00","160.00","-1.36%"
"Aug 17, 1975","162.20","161.95","162.20","162.20","-0.03%"
"Aug 10, 1975","162.25","162.15","162.25","162.25","-1.43%"
"Aug 03, 1975","164.60","166.75","164.60","164.60","-1.44%"
"Jul 27, 1975","167.00","167.20","167.00","167.00","0.33%"
"Jul 20, 1975","166.45","164.45","166.45","166.45","1.46%"
"Jul 13, 1975","164.05","166.85","164.05","164.05","-0.79%"
"Jul 06, 1975","165.35","162.60","165.35","165.35","0.76%"
"Jun 29, 1975","164.10","166.35","164.10","164.10","-0.30%"
"Jun 22, 1975","164.60","162.50","164.60","164.60","1.23%"
"Jun 15, 1975","162.60","164.10","162.60","162.60","-1.12%"
"Jun 08, 1975","164.45","165.45","164.45","164.45","-0.48%"
"Jun 01, 1975","165.25","161.90","165.25","165.25","-1.17%"
"May 25, 1975","167.20","172.00","167.20","167.20","-3.58%"
"May 18, 1975","173.40","167.75","173.40","173.40","4.62%"
"May 11, 1975","165.75","165.40","165.75","165.75","0.00%"
"May 04, 1975","165.75","163.50","165.75","165.75","0.15%"
"Apr 27, 1975","165.50","166.50","165.50","165.50","-0.36%"
"Apr 20, 1975","166.10","165.60","166.10","166.10","-2.44%"
"Apr 13, 1975","170.25","167.50","170.25","170.25","-0.96%"
"Apr 06, 1975","171.90","172.60","171.90","171.90","-1.01%"
"Mar 30, 1975","173.65","176.00","173.65","173.65","-2.03%"
"Mar 23, 1975","177.25","177.25","177.25","177.25","0.42%"
"Mar 16, 1975","176.50","178.00","176.50","176.50","-0.98%"
"Mar 09, 1975","178.25","176.55","178.25","178.25","0.00%"
"Mar 02, 1975","178.25","182.10","178.25","178.25","-2.06%"
"Feb 23, 1975","182.00","185.50","182.00","182.00","-1.62%"
"Feb 16, 1975","185.00","181.25","185.00","185.00","0.41%"
"Feb 09, 1975","184.25","174.25","184.25","184.25","5.44%"
"Feb 02, 1975","174.75","176.50","174.75","174.75","-0.74%"
